time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
2-10-2018  9:36:0,2-10-2018  9:36:0,227.77,227.26,227.25,227.15 x 800,227.20 x 900,28071275
2-10-2018  9:36:28,2-10-2018  9:36:28,227.37,227.26,227.25,227.15 x 800,227.20 x 900,28071275
2-10-2018  9:36:44,2-10-2018  9:36:44,227.38,227.26,227.25,227.1500 x 800,227.2000 x 900,28071275
2-10-2018  9:37:1,2-10-2018  9:37:1,227.19,227.26,227.25,227.02 x 800,227.20 x 900,28071275
2-10-2018  9:37:16,2-10-2018  9:37:16,227.08,227.26,227.25,227.02 x 800,227.20 x 900,28071275
2-10-2018  9:37:32,2-10-2018  9:37:32,226.91,227.26,227.25,227.02 x 800,227.20 x 900,28071275
2-10-2018  9:37:48,2-10-2018  9:37:48,226.89,227.26,227.25,227.02 x 800,227.20 x 900,28071275
2-10-2018  9:38:36,2-10-2018  9:38:36,227.0,227.26,227.25,227.00 x 800,227.18 x 900,28071275
2-10-2018  9:38:52,2-10-2018  9:38:52,227.0,227.26,227.25,227.000 x 800,227.180 x 900,28071275
2-10-2018  9:39:8,2-10-2018  9:39:8,227.22,227.26,227.25,227.00 x 800,227.18 x 900,28071275
2-10-2018  9:39:24,2-10-2018  9:39:24,226.64,227.26,227.25,226.8200 x 800,227.2000 x 900,28071275
2-10-2018  9:39:40,2-10-2018  9:39:40,227.01,227.26,227.25,226.82 x 800,227.20 x 900,28071275
2-10-2018  9:39:56,2-10-2018  9:39:56,226.94,227.26,227.25,226.82 x 800,227.20 x 900,28071275
2-10-2018  9:40:12,2-10-2018  9:40:12,227.0,227.26,227.25,226.82 x 800,227.20 x 900,28071275
2-10-2018  9:40:28,2-10-2018  9:40:28,227.26,227.26,227.25,226.82 x 800,227.20 x 900,28071275
2-10-2018  9:40:44,2-10-2018  9:40:44,227.38,227.26,227.25,226.82 x 800,226.98 x 900,28071275
2-10-2018  9:41:0,2-10-2018  9:41:0,227.57,227.26,227.25,226.82 x 800,226.98 x 900,28071275
2-10-2018  9:41:16,2-10-2018  9:41:16,227.61,227.26,227.25,226.82 x 800,226.98 x 900,28071275
2-10-2018  9:41:32,2-10-2018  9:41:32,227.61,227.26,227.25,226.82 x 800,226.98 x 900,28071275
2-10-2018  9:41:48,2-10-2018  9:41:48,227.52,227.26,227.25,226.90 x 800,226.97 x 900,28071275
2-10-2018  9:42:4,2-10-2018  9:42:4,227.62,227.26,227.25,226.90 x 800,226.97 x 900,28071275
2-10-2018  9:42:20,2-10-2018  9:42:20,227.55,227.26,227.25,226.9000 x 800,226.9700 x 900,28071275
2-10-2018  9:42:36,2-10-2018  9:42:36,227.52,227.26,227.25,226.90 x 800,226.97 x 900,28071275
2-10-2018  9:42:51,2-10-2018  9:42:51,227.55,227.26,227.25,226.90 x 800,226.97 x 900,28071275
2-10-2018  9:43:7,2-10-2018  9:43:7,227.53,227.26,227.25,226.90 x 800,226.97 x 900,28071275
2-10-2018  9:43:23,2-10-2018  9:43:23,227.62,227.26,227.25,227.10 x 800,227.18 x 900,28071275
2-10-2018  9:43:39,2-10-2018  9:43:39,227.6629,227.26,227.25,227.1000 x 800,227.1800 x 900,28071275
2-10-2018  9:43:55,2-10-2018  9:43:55,227.8495,227.26,227.25,227.1000 x 800,227.1800 x 900,28071275
2-10-2018  9:44:11,2-10-2018  9:44:11,227.81,227.26,227.25,226.95 x 800,227.23 x 900,28071275
2-10-2018  9:44:27,2-10-2018  9:44:27,228.01,227.26,227.25,226.95 x 800,227.23 x 900,28071275
2-10-2018  9:44:43,2-10-2018  9:44:43,227.89,227.26,227.25,226.95 x 800,227.23 x 900,28071275
2-10-2018  9:44:58,2-10-2018  9:44:58,227.94,227.26,227.25,227.420 x 800,227.420 x 900,28071275
2-10-2018  9:45:14,2-10-2018  9:45:14,228.03,227.26,227.25,227.42 x 800,227.42 x 900,28071275
2-10-2018  9:45:30,2-10-2018  9:45:30,228.05,227.26,227.25,227.57 x 800,227.68 x 900,28071275
2-10-2018  9:45:45,2-10-2018  9:45:45,228.049,227.26,227.25,227.5700 x 800,227.6800 x 900,28071275
2-10-2018  9:46:1,2-10-2018  9:46:1,228.1,227.26,227.25,227.57 x 800,227.68 x 900,28071275
2-10-2018  9:46:17,2-10-2018  9:46:17,228.22,227.26,227.25,227.68 x 800,227.68 x 900,28071275
2-10-2018  9:46:33,2-10-2018  9:46:33,228.17,227.26,227.25,227.68 x 800,227.68 x 900,28071275
2-10-2018  9:46:49,2-10-2018  9:46:49,228.11,227.26,227.25,227.68 x 800,227.68 x 900,28071275
2-10-2018  9:47:5,2-10-2018  9:47:5,228.29,227.26,227.25,227.81 x 800,227.84 x 900,28071275
2-10-2018  9:47:21,2-10-2018  9:47:21,228.38,227.26,227.25,227.81 x 800,227.84 x 900,28071275
2-10-2018  9:47:36,2-10-2018  9:47:36,228.43,227.26,227.25,227.81 x 800,227.84 x 900,28071275
2-10-2018  9:47:52,2-10-2018  9:47:52,228.38,227.26,227.25,228.07 x 800,228.09 x 900,28071275
2-10-2018  9:48:8,2-10-2018  9:48:8,228.24,227.26,227.25,228.0700 x 800,228.0900 x 900,28071275
2-10-2018  9:48:24,2-10-2018  9:48:24,228.21,227.26,227.25,228.07 x 800,228.09 x 900,28071275
2-10-2018  9:48:40,2-10-2018  9:48:40,228.17,227.26,227.25,227.940 x 800,227.970 x 900,28071275
2-10-2018  9:48:56,2-10-2018  9:48:56,228.22,227.26,227.25,227.94 x 800,227.97 x 900,28071275
2-10-2018  9:49:11,2-10-2018  9:49:11,228.24,227.26,227.25,227.94 x 800,227.97 x 900,28071275
2-10-2018  9:49:28,2-10-2018  9:49:28,228.45,227.26,227.25,227.66 x 800,227.74 x 900,28071275
2-10-2018  9:49:43,2-10-2018  9:49:43,228.51,227.26,227.25,227.6600 x 800,227.7400 x 900,28071275
2-10-2018  9:50:0,2-10-2018  9:50:0,228.54,227.26,227.25,227.66 x 800,227.74 x 900,28071275
2-10-2018  9:50:15,2-10-2018  9:50:15,228.49,227.26,227.25,227.740 x 800,227.800 x 900,28071275
2-10-2018  9:50:31,2-10-2018  9:50:31,228.54,227.26,227.25,227.74 x 800,227.80 x 900,28071275
2-10-2018  9:50:47,2-10-2018  9:50:47,228.5309,227.26,227.25,227.7400 x 800,227.8000 x 900,28071275
2-10-2018  9:51:3,2-10-2018  9:51:3,228.62,227.26,227.25,227.83 x 800,227.88 x 900,28071275
2-10-2018  9:51:19,2-10-2018  9:51:19,228.55,227.26,227.25,227.83 x 800,227.88 x 900,28071275
2-10-2018  9:51:35,2-10-2018  9:51:35,228.55,227.26,227.25,227.83 x 800,227.88 x 900,28071275
2-10-2018  9:51:51,2-10-2018  9:51:51,228.41,227.26,227.25,227.36 x 800,227.44 x 900,28071275
2-10-2018  9:52:7,2-10-2018  9:52:7,228.455,227.26,227.25,227.360 x 800,227.440 x 900,28071275
2-10-2018  9:52:22,2-10-2018  9:52:22,228.31,227.26,227.25,227.36 x 800,227.44 x 900,28071275
2-10-2018  9:52:38,2-10-2018  9:52:38,228.39,227.26,227.25,227.08 x 800,227.12 x 900,28071275
2-10-2018  9:52:54,2-10-2018  9:52:54,228.42,227.26,227.25,227.08 x 800,227.12 x 900,28071275
2-10-2018  9:53:10,2-10-2018  9:53:10,228.37,227.26,227.25,227.08 x 800,227.12 x 900,28071275
2-10-2018  9:53:26,2-10-2018  9:53:26,228.39,227.26,227.25,226.91 x 800,227.01 x 900,28071275
2-10-2018  9:53:42,2-10-2018  9:53:42,228.419,227.26,227.25,226.910 x 800,227.010 x 900,28071275
2-10-2018  9:53:58,2-10-2018  9:53:58,228.4,227.26,227.25,226.91 x 800,227.01 x 900,28071275
2-10-2018  9:54:15,2-10-2018  9:54:15,228.38,227.26,227.25,227.19 x 800,227.26 x 900,28071275
2-10-2018  9:54:30,2-10-2018  9:54:30,228.5538,227.26,227.25,227.1900 x 800,227.2600 x 900,28071275
2-10-2018  9:54:46,2-10-2018  9:54:46,228.54,227.26,227.25,227.19 x 800,227.26 x 900,28071275
2-10-2018  9:55:2,2-10-2018  9:55:2,228.5,227.26,227.25,226.92 x 800,227.00 x 900,28071275
2-10-2018  9:55:18,2-10-2018  9:55:18,228.55,227.26,227.25,226.9200 x 800,227.0000 x 900,28071275
2-10-2018  9:55:34,2-10-2018  9:55:34,228.575,227.26,227.25,227.240 x 800,227.260 x 900,28071275
2-10-2018  9:55:50,2-10-2018  9:55:50,228.58,227.26,227.25,227.2400 x 800,227.2600 x 900,28071275
2-10-2018  9:56:6,2-10-2018  9:56:6,228.55,227.26,227.25,227.24 x 800,227.26 x 900,28071275
2-10-2018  9:56:22,2-10-2018  9:56:22,228.48,227.26,227.25,227.56 x 800,227.61 x 900,28071275
2-10-2018  9:56:37,2-10-2018  9:56:37,228.59,227.26,227.25,227.56 x 800,227.61 x 900,28071275
2-10-2018  9:56:54,2-10-2018  9:56:54,228.7452,227.26,227.25,227.5600 x 800,227.6100 x 900,28071275
2-10-2018  9:57:9,2-10-2018  9:57:9,228.9,227.26,227.25,227.65 x 800,227.73 x 900,28071275
2-10-2018  9:57:25,2-10-2018  9:57:25,228.94,227.26,227.25,227.65 x 800,227.73 x 900,28071275
2-10-2018  9:57:41,2-10-2018  9:57:41,228.95,227.26,227.25,227.65 x 800,227.73 x 900,28071275
2-10-2018  9:57:57,2-10-2018  9:57:57,228.87,227.26,227.25,227.62 x 800,227.65 x 900,28071275
2-10-2018  9:58:13,2-10-2018  9:58:13,229.125,227.26,227.25,227.620 x 800,227.650 x 900,28071275
2-10-2018  9:58:29,2-10-2018  9:58:29,229.19,227.26,227.25,227.62 x 800,227.65 x 900,28071275
2-10-2018  9:58:45,2-10-2018  9:58:45,229.3,227.26,227.25,227.67 x 800,227.69 x 900,28071275
2-10-2018  9:59:1,2-10-2018  9:59:1,229.33,227.26,227.25,227.670 x 800,227.690 x 900,28071275
2-10-2018  9:59:17,2-10-2018  9:59:17,229.285,227.26,227.25,227.67 x 800,227.69 x 900,28071275
2-10-2018  9:59:33,2-10-2018  9:59:33,229.23,227.26,227.25,227.94 x 800,227.97 x 900,28071275
2-10-2018  9:59:49,2-10-2018  9:59:49,229.235,227.26,227.25,227.940 x 800,227.970 x 900,28071275
2-10-2018  10:0:5,2-10-2018  10:0:5,229.22,227.26,227.25,227.94 x 800,227.97 x 900,28071275
2-10-2018  10:0:21,2-10-2018  10:0:21,229.09,227.26,227.25,227.99 x 800,228.01 x 900,28071275
2-10-2018  10:0:37,2-10-2018  10:0:37,229.1389,227.26,227.25,227.9900 x 800,228.0100 x 900,28071275
2-10-2018  10:0:53,2-10-2018  10:0:53,229.2,227.26,227.25,227.99 x 800,228.01 x 900,28071275
2-10-2018  10:1:9,2-10-2018  10:1:9,229.21,227.26,227.25,228.0100 x 800,228.0400 x 900,28071275
2-10-2018  10:1:25,2-10-2018  10:1:25,229.23,227.26,227.25,228.01 x 800,228.04 x 900,28071275
2-10-2018  10:1:41,2-10-2018  10:1:41,229.29,227.26,227.25,228.01 x 800,228.04 x 900,28071275
2-10-2018  10:1:57,2-10-2018  10:1:57,229.35,227.26,227.25,228.11 x 800,228.13 x 900,28071275
2-10-2018  10:2:13,2-10-2018  10:2:13,229.3327,227.26,227.25,228.110 x 800,228.130 x 900,28071275
2-10-2018  10:2:29,2-10-2018  10:2:29,229.19,227.26,227.25,228.3400 x 800,228.3600 x 900,28071275
2-10-2018  10:2:45,2-10-2018  10:2:45,229.1559,227.26,227.25,228.3400 x 800,228.3600 x 900,28071275
2-10-2018  10:3:1,2-10-2018  10:3:1,229.2401,227.26,227.25,228.3400 x 800,228.3600 x 900,28071275
2-10-2018  10:3:17,2-10-2018  10:3:17,229.13,227.26,227.25,228.15 x 800,228.20 x 900,28071275
2-10-2018  10:3:33,2-10-2018  10:3:33,229.16,227.26,227.25,228.15 x 800,228.20 x 900,28071275
2-10-2018  10:3:48,2-10-2018  10:3:48,229.12,227.26,227.25,228.15 x 800,228.20 x 900,28071275
2-10-2018  10:4:4,2-10-2018  10:4:4,229.17,227.26,227.25,228.23 x 800,228.24 x 900,28071275
2-10-2018  10:4:20,2-10-2018  10:4:20,229.15,227.26,227.25,228.23 x 800,228.24 x 900,28071275
2-10-2018  10:4:36,2-10-2018  10:4:36,228.9426,227.26,227.25,228.23 x 800,228.24 x 900,28071275
2-10-2018  10:4:52,2-10-2018  10:4:52,228.87,227.26,227.25,228.51 x 800,228.53 x 900,28071275
2-10-2018  10:5:8,2-10-2018  10:5:8,228.92,227.26,227.25,228.51 x 800,228.53 x 900,28071275
2-10-2018  10:5:23,2-10-2018  10:5:23,228.99,227.26,227.25,228.51 x 800,228.53 x 900,28071275
2-10-2018  10:5:39,2-10-2018  10:5:39,229.08,227.26,227.25,228.51 x 800,228.55 x 900,28071275
2-10-2018  10:5:55,2-10-2018  10:5:55,228.96,227.26,227.25,228.51 x 800,228.55 x 900,28071275
2-10-2018  10:6:11,2-10-2018  10:6:11,229.04,227.26,227.25,228.51 x 800,228.55 x 900,28071275
2-10-2018  10:6:27,2-10-2018  10:6:27,229.04,227.26,227.25,228.56 x 800,228.58 x 900,28071275
2-10-2018  10:6:43,2-10-2018  10:6:43,229.004,227.26,227.25,228.560 x 800,228.580 x 900,28071275
2-10-2018  10:6:59,2-10-2018  10:6:59,229.04,227.26,227.25,228.56 x 800,228.58 x 900,28071275
2-10-2018  10:7:15,2-10-2018  10:7:15,229.09,227.26,227.25,228.48 x 800,228.50 x 900,28071275
2-10-2018  10:7:31,2-10-2018  10:7:31,229.05,227.26,227.25,228.48 x 800,228.50 x 900,28071275
2-10-2018  10:7:47,2-10-2018  10:7:47,228.969,227.26,227.25,228.480 x 800,228.500 x 900,28071275
2-10-2018  10:8:2,2-10-2018  10:8:2,229.02,227.26,227.25,228.41 x 800,228.37 x 900,28071275
2-10-2018  10:8:18,2-10-2018  10:8:18,228.975,227.26,227.25,228.410 x 800,228.370 x 900,28071275
2-10-2018  10:8:34,2-10-2018  10:8:34,228.9424,227.26,227.25,228.4100 x 800,228.3700 x 900,28071275
2-10-2018  10:8:50,2-10-2018  10:8:50,228.85,227.26,227.25,228.40 x 800,228.37 x 900,28071275
2-10-2018  10:9:6,2-10-2018  10:9:6,228.88,227.26,227.25,228.40 x 800,228.37 x 900,28071275
2-10-2018  10:9:22,2-10-2018  10:9:22,228.87,227.26,227.25,228.50 x 800,228.37 x 900,28071275
2-10-2018  10:9:37,2-10-2018  10:9:37,228.88,227.26,227.25,228.50 x 800,228.54 x 900,28071275
2-10-2018  10:9:53,2-10-2018  10:9:53,228.823,227.26,227.25,228.5000 x 800,228.5400 x 900,28071275
2-10-2018  10:10:9,2-10-2018  10:10:9,228.85,227.26,227.25,228.55 x 800,228.54 x 900,28071275
2-10-2018  10:10:25,2-10-2018  10:10:25,228.85,227.26,227.25,228.55 x 800,228.57 x 900,28071275
2-10-2018  10:10:41,2-10-2018  10:10:41,228.83,227.26,227.25,228.55 x 800,228.57 x 900,28071275
2-10-2018  10:10:57,2-10-2018  10:10:57,228.81,227.26,227.25,228.600 x 800,228.570 x 900,28071275
2-10-2018  10:11:13,2-10-2018  10:11:13,228.81,227.26,227.25,228.60 x 800,228.60 x 900,28071275
2-10-2018  10:11:29,2-10-2018  10:11:29,228.79,227.26,227.25,228.60 x 800,228.60 x 900,28071275
2-10-2018  10:11:44,2-10-2018  10:11:44,228.78,227.26,227.25,228.6100 x 800,228.6100 x 900,28071275
2-10-2018  10:12:0,2-10-2018  10:12:0,228.73,227.26,227.25,228.61 x 800,228.61 x 900,28071275
2-10-2018  10:12:17,2-10-2018  10:12:17,228.78,227.26,227.25,228.610 x 800,228.610 x 900,28071275
2-10-2018  10:12:33,2-10-2018  10:12:33,228.78,227.26,227.25,228.98 x 800,229.00 x 900,28071275
2-10-2018  10:12:48,2-10-2018  10:12:48,228.7171,227.26,227.25,228.9800 x 800,229.0000 x 900,28071275
2-10-2018  10:13:4,2-10-2018  10:13:4,228.66,227.26,227.25,228.98 x 800,229.00 x 900,28071275
2-10-2018  10:13:20,2-10-2018  10:13:20,228.6901,227.26,227.25,229.1100 x 800,229.1600 x 900,28071275
2-10-2018  10:13:36,2-10-2018  10:13:36,228.59,227.26,227.25,229.11 x 800,229.16 x 900,28071275
2-10-2018  10:13:52,2-10-2018  10:13:52,228.62,227.26,227.25,229.11 x 800,229.16 x 900,28071275
2-10-2018  10:14:8,2-10-2018  10:14:8,228.7301,227.26,227.25,229.2000 x 800,229.2400 x 900,28071275
2-10-2018  10:14:24,2-10-2018  10:14:24,228.84,227.26,227.25,229.20 x 800,229.24 x 900,28071275
2-10-2018  10:14:40,2-10-2018  10:14:40,228.85,227.26,227.25,229.20 x 800,229.24 x 900,28071275
2-10-2018  10:14:55,2-10-2018  10:14:55,228.842,227.26,227.25,229.230 x 800,229.240 x 900,28071275
2-10-2018  10:15:11,2-10-2018  10:15:11,228.81,227.26,227.25,229.2300 x 800,229.2400 x 900,28071275
